Date,Price,Open,High,Low,Vol.,Change %
"Nov 25, 2014","1,384.87","1,384.76","1,389.06","1,375.22",,-0.09%
"Nov 24, 2014","1,386.12","1,373.98","1,389.33","1,372.21",,0.67%
"Nov 21, 2014","1,376.89","1,393.13","1,401.68","1,374.85",,-1.27%
"Nov 20, 2014","1,394.56","1,396.90","1,402.70","1,391.26",,-0.26%
"Nov 19, 2014","1,398.26","1,378.93","1,402.20","1,377.03",,1.30%
"Nov 18, 2014","1,380.30","1,369.49","1,380.88","1,366.83",,0.69%
"Nov 17, 2014","1,370.85","1,377.12","1,383.68","1,365.40",,-0.57%
"Nov 14, 2014","1,378.64","1,366.85","1,382.22","1,365.81",,0.76%
"Nov 13, 2014","1,368.28","1,361.40","1,369.86","1,358.93",,0.41%
"Nov 12, 2014","1,362.76","1,364.38","1,374.62","1,358.97",,-0.22%
"Nov 11, 2014","1,365.82","1,353.42","1,371.54","1,351.06",,0.85%
"Nov 10, 2014","1,354.25","1,352.12","1,357.10","1,350.50",,0.05%
"Nov 07, 2014","1,353.61","1,348.66","1,359.05","1,348.11",,0.26%
"Nov 06, 2014","1,350.12","1,360.33","1,370.88","1,342.32",,-0.85%
"Nov 05, 2014","1,361.68","1,351.51","1,365.51","1,348.28",,0.65%
"Nov 04, 2014","1,352.82","1,350.78","1,356.99","1,345.89",,0.06%
"Nov 03, 2014","1,352.04","1,342.05","1,352.97","1,337.26",,0.55%
"Oct 31, 2014","1,344.63","1,328.88","1,348.25","1,326.67",,1.08%
"Oct 30, 2014","1,330.24","1,330.06","1,334.21","1,324.98",,-0.11%
"Oct 29, 2014","1,331.70","1,333.17","1,337.66","1,324.39",,-0.22%
"Oct 28, 2014","1,334.61","1,333.54","1,339.48","1,330.09",,-0.02%
"Oct 27, 2014","1,334.87","1,339.75","1,342.96","1,331.81",,-0.38%
"Oct 24, 2014","1,339.91","1,338.57","1,345.13","1,335.50",,-0.01%
"Oct 23, 2014","1,340.00","1,331.48","1,342.83","1,329.62",,0.54%
"Oct 22, 2014","1,332.85","1,340.41","1,343.71","1,329.98",,-0.67%
"Oct 21, 2014","1,341.87","1,350.69","1,354.81","1,338.90",,-0.74%
"Oct 20, 2014","1,351.87","1,354.39","1,357.80","1,348.63",,-0.39%
"Oct 17, 2014","1,357.12","1,357.63","1,366.67","1,353.94",,-0.15%
"Oct 16, 2014","1,359.18","1,360.56","1,364.76","1,354.26",,-0.21%
"Oct 15, 2014","1,362.06","1,347.55","1,364.04","1,342.03",,0.97%
"Oct 14, 2014","1,348.92","1,359.21","1,362.30","1,344.58",,-0.88%
"Oct 13, 2014","1,360.87","1,355.97","1,361.15","1,350.11",,0.33%
"Oct 10, 2014","1,356.37","1,348.44","1,366.17","1,347.16",,0.49%
"Oct 09, 2014","1,349.76","1,367.93","1,375.90","1,345.57",,-1.43%
"Oct 08, 2014","1,369.41","1,354.72","1,371.04","1,349.77",,1.05%
"Oct 07, 2014","1,355.20","1,352.40","1,356.59","1,341.74",,0.19%
"Oct 06, 2014","1,352.64","1,327.12","1,354.99","1,326.59",,1.82%
"Oct 03, 2014","1,328.49","1,344.10","1,345.36","1,326.27",,-1.20%
"Oct 02, 2014","1,344.57","1,341.23","1,347.75","1,337.63",,0.20%
"Oct 01, 2014","1,341.87","1,331.90","1,343.88","1,331.16",,0.69%
"Sep 30, 2014","1,332.61","1,335.71","1,341.63","1,325.57",,-0.27%
"Sep 29, 2014","1,336.24","1,324.34","1,339.50","1,322.35",,0.87%
"Sep 26, 2014","1,324.70","1,330.21","1,332.22","1,323.40",,-0.45%
"Sep 25, 2014","1,330.70","1,328.72","1,334.06","1,323.79",,0.12%
"Sep 24, 2014","1,329.14","1,335.75","1,339.07","1,328.10",,-0.53%
"Sep 23, 2014","1,336.28","1,336.30","1,344.22","1,333.49",,-0.10%
"Sep 22, 2014","1,337.68","1,338.46","1,341.72","1,333.59",,-0.14%
"Sep 19, 2014","1,339.61","1,348.15","1,354.13","1,338.46",,-0.70%
